params: 341M total / 99M active | mode=joint lambda_pred=0.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step  1880 | lm 6.357 | pred 2.856 | 4543 tok/s
step  1900 | lm 5.967 | pred 2.861 | 4549 tok/s
step  1920 | lm 6.396 | pred 2.857 | 4554 tok/s
step  1940 | lm 5.897 | pred 2.870 | 4560 tok/s
step  1960 | lm 6.327 | pred 2.865 | 4566 tok/s
step  1980 | lm 6.201 | pred 2.873 | 4572 tok/s
  eval step 2000: lm 6.514 pred 2.855 hit@k [h1: 0.124 | h2: 0.141 | h4: 0.123] | ent 0.319 persist 0.139 util_max 0.304
step  2000 | lm 6.116 | pred 2.860 | 4565 tok/s
step  2020 | lm 7.034 | pred 2.848 | 4570 tok/s
step  2040 | lm 6.232 | pred 2.867 | 4576 tok/s
step  2060 | lm 6.250 | pred 2.866 | 4572 tok/s
step  2080 | lm 6.780 | pred 2.861 | 4563 tok/s
step  2100 | lm 6.089 | pred 2.862 | 4561 tok/s
step  2120 | lm 6.102 | pred 2.849 | 4559 tok/s
step  2140 | lm 6.309 | pred 2.851 | 4556 tok/s
step  2160 | lm 6.215 | pred 2.857 | 4553 tok/s
step  2180 | lm 6.468 | pred 2.847 | 4551 tok/s
step  2200 | lm 6.052 | pred 2.850 | 4550 tok/s
step  2220 | lm 6.392 | pred 2.856 | 4546 tok/s
step  2240 | lm 6.113 | pred 2.864 | 4543 tok/s
step  2260 | lm 6.138 | pred 2.852 | 4541 tok/s
step  2280 | lm 5.942 | pred 2.858 | 4540 tok/s
step  2300 | lm 6.542 | pred 2.858 | 4539 tok/s
step  2320 | lm 6.384 | pred 2.857 | 4537 tok/s
step  2340 | lm 6.461 | pred 2.853 | 4535 tok/s
step  2360 | lm 6.276 | pred 2.862 | 4534 tok/s
step  2380 | lm 6.523 | pred 2.861 | 4532 tok/s
step  2400 | lm 6.375 | pred 2.864 | 4530 tok/s
step  2420 | lm 5.976 | pred 2.858 | 4528 tok/s
step  2440 | lm 6.188 | pred 2.853 | 4526 tok/s
step  2460 | lm 6.188 | pred 2.852 | 4524 tok/s
step  2480 | lm 6.297 | pred 2.860 | 4523 tok/s
  eval step 2500: lm 6.397 pred 2.861 hit@k [h1: 0.119 | h2: 0.136 | h4: 0.121] | ent 0.303 persist 0.141 util_max 0.314
step  2500 | lm 5.997 | pred 2.861 | 4507 tok/s
step  2520 | lm 6.416 | pred 2.855 | 4506 tok/s
step  2540 | lm 6.006 | pred 2.863 | 4504 tok/s
step  2560 | lm 6.412 | pred 2.858 | 4502 tok/s
step  2580 | lm 6.013 | pred 2.861 | 4502 tok/s
step  2600 | lm 6.080 | pred 2.857 | 4501 tok/s
step  2620 | lm 6.196 | pred 2.854 | 4500 tok/s
step  2640 | lm 5.858 | pred 2.860 | 4498 tok/s
step  2660 | lm 6.146 | pred 2.851 | 4497 tok/s
step  2680 | lm 5.848 | pred 2.854 | 4496 tok/s
step  2700 | lm 6.264 | pred 2.860 | 4495 tok/s
step  2720 | lm 6.425 | pred 2.851 | 4493 tok/s
step  2740 | lm 5.919 | pred 2.859 | 4492 tok/s
step  2760 | lm 6.055 | pred 2.850 | 4491 tok/s
step  2780 | lm 6.689 | pred 2.861 | 4489 tok/s
step  2800 | lm 6.290 | pred 2.860 | 4488 tok/s
step  2820 | lm 6.218 | pred 2.858 | 4486 tok/s
step  2840 | lm 6.392 | pred 2.853 | 4484 tok/s
step  2860 | lm 6.122 | pred 2.856 | 4483 tok/s
step  2880 | lm 6.085 | pred 2.854 | 4482 tok/s
step  2900 | lm 6.242 | pred 2.856 | 4481 tok/s
step  2920 | lm 6.111 | pred 2.864 | 4480 tok/s
step  2940 | lm 5.901 | pred 2.855 | 4480 tok/s
step  2960 | lm 6.181 | pred 2.857 | 4478 tok/s
step  2980 | lm 5.856 | pred 2.863 | 4477 tok/s
  eval step 3000: lm 6.286 pred 2.854 hit@k [h1: 0.122 | h2: 0.139 | h4: 0.128] | ent 0.295 persist 0.138 util_max 0.314
step  3000 | lm 6.134 | pred 2.855 | 4464 tok/s
step  3020 | lm 6.085 | pred 2.859 | 4463 tok/s
step  3040 | lm 6.057 | pred 2.857 | 4463 tok/s
step  3060 | lm 6.105 | pred 2.854 | 4463 tok/s
step  3080 | lm 6.351 | pred 2.844 | 4462 tok/s
step  3100 | lm 5.992 | pred 2.856 | 4461 tok/s
step  3120 | lm 5.727 | pred 2.858 | 4460 tok/s
step  3140 | lm 6.117 | pred 2.858 | 4459 tok/s
step  3160 | lm 6.423 | pred 2.856 | 4458 tok/s
step  3180 | lm 6.236 | pred 2.859 | 4456 tok/s
step  3200 | lm 5.789 | pred 2.853 | 4456 tok/s
step  3220 | lm 5.632 | pred 2.857 | 4454 tok/s
step  3240 | lm 6.104 | pred 2.857 | 4454 tok/s
step  3260 | lm 5.755 | pred 2.857 | 4453 tok/s
step  3280 | lm 5.893 | pred 2.860 | 4456 tok/s
step  3300 | lm 5.727 | pred 2.857 | 4460 tok/s
step  3320 | lm 5.976 | pred 2.862 | 4464 tok/s
step  3340 | lm 5.675 | pred 2.857 | 4468 tok/s
step  3360 | lm 5.559 | pred 2.860 | 4472 tok/s
step  3380 | lm 5.725 | pred 2.862 | 4475 tok/s
step  3400 | lm 5.787 | pred 2.861 | 4479 tok/s
step  3420 | lm 5.788 | pred 2.856 | 4483 tok/s
step  3440 | lm 5.951 | pred 2.852 | 4487 tok/s
step  3460 | lm 5.755 | pred 2.862 | 4490 tok/s
step  3480 | lm 6.778 | pred 2.862 | 4493 tok/s
  eval step 3500: lm 6.186 pred 2.858 hit@k [h1: 0.126 | h2: 0.133 | h4: 0.126] | ent 0.288 persist 0.141 util_max 0.315
step  3500 | lm 6.152 | pred 2.856 | 4490 tok/s
step  3520 | lm 5.565 | pred 2.858 | 4493 tok/s
step  3540 | lm 5.952 | pred 2.856 | 4497 tok/s
step  3560 | lm 5.988 | pred 2.862 | 4500 tok/s
step  3580 | lm 5.813 | pred 2.862 | 4504 tok/s
step  3600 | lm 5.755 | pred 2.862 | 4507 tok/s
step  3620 | lm 7.479 | pred 2.851 | 4511 tok/s
step  3640 | lm 5.902 | pred 2.853 | 4514 tok/s
step  3660 | lm 5.503 | pred 2.858 | 4518 tok/s
step  3680 | lm 6.345 | pred 2.856 | 4521 tok/s
step  3700 | lm 6.087 | pred 2.864 | 4524 tok/s
step  3720 | lm 5.731 | pred 2.862 | 4527 tok/s
step  3740 | lm 5.994 | pred 2.858 | 4531 tok/s
step  3760 | lm 6.157 | pred 2.852 | 4534 tok/s
step  3780 | lm 5.859 | pred 2.857 | 4537 tok/s
step  3800 | lm 6.072 | pred 2.857 | 4540 tok/s
step  3820 | lm 6.178 | pred 2.856 | 4543 tok/s
step  3840 | lm 5.773 | pred 2.859 | 4546 tok/s
step  3860 | lm 5.968 | pred 2.858 | 4549 tok/s
step  3880 | lm 5.838 | pred 2.857 | 4552 tok/s
step  3900 | lm 5.908 | pred 2.859 | 4555 tok/s
step  3920 | lm 6.055 | pred 2.853 | 4558 tok/s
step  3940 | lm 6.277 | pred 2.858 | 4561 tok/s
step  3960 | lm 5.934 | pred 2.856 | 4564 tok/s
step  3980 | lm 5.945 | pred 2.861 | 4567 tok/s
  eval step 4000: lm 6.117 pred 2.858 hit@k [h1: 0.124 | h2: 0.133 | h4: 0.130] | ent 0.282 persist 0.139 util_max 0.315
step  4000 | lm 6.136 | pred 2.860 | 4564 tok/s
step  4020 | lm 5.935 | pred 2.857 | 4566 tok/s
step  4040 | lm 5.911 | pred 2.854 | 4569 tok/s
step  4060 | lm 6.469 | pred 2.856 | 4572 tok/s
step  4080 | lm 6.052 | pred 2.858 | 4575 tok/s
step  4100 | lm 5.640 | pred 2.857 | 4578 tok/s
step  4120 | lm 6.031 | pred 2.854 | 4580 tok/s
step  4140 | lm 5.929 | pred 2.856 | 4583 tok/s
step  4160 | lm 5.708 | pred 2.858 | 4586 tok/s
step  4180 | lm 5.685 | pred 2.857 | 4589 tok/s
step  4200 | lm 5.533 | pred 2.856 | 4591 tok/s
step  4220 | lm 5.744 | pred 2.856 | 4594 tok/s
step  4240 | lm 5.633 | pred 2.853 | 4596 tok/s
step  4260 | lm 5.808 | pred 2.856 | 4599 tok/s
step  4280 | lm 5.639 | pred 2.857 | 4601 tok/s
step  4300 | lm 5.840 | pred 2.854 | 4604 tok/s
step  4320 | lm 5.796 | pred 2.857 | 4606 tok/s
step  4340 | lm 5.889 | pred 2.854 | 4609 tok/s
step  4360 | lm 5.777 | pred 2.864 | 4611 tok/s
step  4380 | lm 5.748 | pred 2.863 | 4614 tok/s
step  4400 | lm 5.298 | pred 2.865 | 4616 tok/s
step  4420 | lm 5.700 | pred 2.855 | 4618 tok/s
