params: 341M total / 99M active | mode=joint lambda_pred=0.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step  1940 | lm 5.948 | pred 2.859 | 5087 tok/s
step  1960 | lm 6.102 | pred 2.854 | 5088 tok/s
step  1980 | lm 6.159 | pred 2.855 | 5088 tok/s
  eval step 2000: lm 6.203 pred 2.854 hit@k [h1: 0.116 | h2: 0.131 | h4: 0.137]
step  2000 | lm 6.074 | pred 2.852 | 5084 tok/s
step  2020 | lm 6.447 | pred 2.854 | 5084 tok/s
step  2040 | lm 6.126 | pred 2.850 | 5085 tok/s
step  2060 | lm 5.633 | pred 2.851 | 5085 tok/s
step  2080 | lm 6.099 | pred 2.859 | 5086 tok/s
step  2100 | lm 6.188 | pred 2.858 | 5086 tok/s
step  2120 | lm 6.511 | pred 2.856 | 5086 tok/s
step  2140 | lm 6.751 | pred 2.851 | 5087 tok/s
step  2160 | lm 6.242 | pred 2.859 | 5087 tok/s
step  2180 | lm 6.445 | pred 2.852 | 5088 tok/s
step  2200 | lm 6.314 | pred 2.855 | 5088 tok/s
step  2220 | lm 5.806 | pred 2.850 | 5089 tok/s
step  2240 | lm 6.112 | pred 2.850 | 5089 tok/s
step  2260 | lm 6.340 | pred 2.853 | 5089 tok/s
step  2280 | lm 6.076 | pred 2.853 | 5089 tok/s
step  2300 | lm 6.221 | pred 2.851 | 5090 tok/s
step  2320 | lm 6.019 | pred 2.850 | 5090 tok/s
step  2340 | lm 5.869 | pred 2.850 | 5091 tok/s
step  2360 | lm 6.216 | pred 2.851 | 5091 tok/s
step  2380 | lm 6.318 | pred 2.860 | 5092 tok/s
step  2400 | lm 6.065 | pred 2.850 | 5092 tok/s
step  2420 | lm 5.784 | pred 2.851 | 5092 tok/s
step  2440 | lm 6.234 | pred 2.856 | 5093 tok/s
step  2460 | lm 5.949 | pred 2.848 | 5093 tok/s
step  2480 | lm 6.183 | pred 2.854 | 5093 tok/s
  eval step 2500: lm 6.221 pred 2.851 hit@k [h1: 0.119 | h2: 0.126 | h4: 0.134]
step  2500 | lm 6.419 | pred 2.860 | 5089 tok/s
step  2520 | lm 5.941 | pred 2.851 | 5090 tok/s
step  2540 | lm 6.212 | pred 2.848 | 5090 tok/s
step  2560 | lm 6.292 | pred 2.853 | 5090 tok/s
step  2580 | lm 5.949 | pred 2.857 | 5091 tok/s
step  2600 | lm 5.889 | pred 2.848 | 5091 tok/s
step  2620 | lm 5.723 | pred 2.846 | 5091 tok/s
step  2640 | lm 6.472 | pred 2.848 | 5092 tok/s
step  2660 | lm 6.019 | pred 2.846 | 5092 tok/s
step  2680 | lm 6.195 | pred 2.850 | 5092 tok/s
step  2700 | lm 6.252 | pred 2.851 | 5093 tok/s
step  2720 | lm 6.290 | pred 2.850 | 5093 tok/s
step  2740 | lm 5.744 | pred 2.846 | 5093 tok/s
step  2760 | lm 6.321 | pred 2.851 | 5093 tok/s
step  2780 | lm 5.832 | pred 2.844 | 5094 tok/s
step  2800 | lm 6.366 | pred 2.860 | 5094 tok/s
step  2820 | lm 6.010 | pred 2.851 | 5094 tok/s
step  2840 | lm 6.017 | pred 2.848 | 5095 tok/s
step  2860 | lm 6.375 | pred 2.855 | 5095 tok/s
step  2880 | lm 6.176 | pred 2.857 | 5095 tok/s
step  2900 | lm 5.700 | pred 2.846 | 5095 tok/s
step  2920 | lm 5.952 | pred 2.847 | 5095 tok/s
step  2940 | lm 5.738 | pred 2.848 | 5096 tok/s
step  2960 | lm 5.934 | pred 2.848 | 5096 tok/s
step  2980 | lm 5.723 | pred 2.848 | 5096 tok/s
  eval step 3000: lm 5.972 pred 2.848 hit@k [h1: 0.119 | h2: 0.127 | h4: 0.130]
step  3000 | lm 5.947 | pred 2.850 | 5093 tok/s
step  3020 | lm 6.203 | pred 2.858 | 5093 tok/s
step  3040 | lm 5.924 | pred 2.855 | 5093 tok/s
step  3060 | lm 5.673 | pred 2.844 | 5093 tok/s
step  3080 | lm 6.036 | pred 2.846 | 5093 tok/s
step  3100 | lm 5.537 | pred 2.847 | 5094 tok/s
step  3120 | lm 5.848 | pred 2.847 | 5094 tok/s
step  3140 | lm 6.269 | pred 2.852 | 5094 tok/s
step  3160 | lm 6.677 | pred 2.859 | 5094 tok/s
step  3180 | lm 5.840 | pred 2.850 | 5095 tok/s
step  3200 | lm 5.705 | pred 2.846 | 5095 tok/s
step  3220 | lm 5.917 | pred 2.848 | 5095 tok/s
step  3240 | lm 5.981 | pred 2.849 | 5095 tok/s
step  3260 | lm 5.555 | pred 2.848 | 5095 tok/s
step  3280 | lm 5.923 | pred 2.847 | 5095 tok/s
step  3300 | lm 5.797 | pred 2.848 | 5096 tok/s
step  3320 | lm 5.895 | pred 2.846 | 5096 tok/s
step  3340 | lm 6.304 | pred 2.845 | 5096 tok/s
step  3360 | lm 5.811 | pred 2.849 | 5096 tok/s
step  3380 | lm 6.091 | pred 2.845 | 5096 tok/s
step  3400 | lm 5.791 | pred 2.847 | 5096 tok/s
step  3420 | lm 5.896 | pred 2.841 | 5096 tok/s
step  3440 | lm 6.172 | pred 2.844 | 5096 tok/s
step  3460 | lm 6.104 | pred 2.846 | 5096 tok/s
step  3480 | lm 5.859 | pred 2.848 | 5097 tok/s
  eval step 3500: lm 5.693 pred 2.848 hit@k [h1: 0.118 | h2: 0.127 | h4: 0.132]
step  3500 | lm 5.830 | pred 2.844 | 5094 tok/s
step  3520 | lm 5.693 | pred 2.846 | 5094 tok/s
step  3540 | lm 5.300 | pred 2.845 | 5095 tok/s
step  3560 | lm 5.926 | pred 2.843 | 5095 tok/s
step  3580 | lm 5.811 | pred 2.845 | 5095 tok/s
step  3600 | lm 5.889 | pred 2.843 | 5095 tok/s
step  3620 | lm 6.050 | pred 2.847 | 5095 tok/s
step  3640 | lm 6.389 | pred 2.849 | 5096 tok/s
step  3660 | lm 6.055 | pred 2.845 | 5096 tok/s
step  3680 | lm 5.606 | pred 2.847 | 5096 tok/s
step  3700 | lm 5.907 | pred 2.845 | 5096 tok/s
step  3720 | lm 5.768 | pred 2.850 | 5097 tok/s
step  3740 | lm 5.839 | pred 2.850 | 5097 tok/s
step  3760 | lm 5.590 | pred 2.846 | 5097 tok/s
step  3780 | lm 5.869 | pred 2.851 | 5095 tok/s
step  3800 | lm 5.722 | pred 2.847 | 5089 tok/s
step  3820 | lm 5.962 | pred 2.839 | 5083 tok/s
step  3840 | lm 6.062 | pred 2.844 | 5078 tok/s
step  3860 | lm 5.742 | pred 2.840 | 5073 tok/s
step  3880 | lm 5.884 | pred 2.841 | 5069 tok/s
step  3900 | lm 5.675 | pred 2.847 | 5069 tok/s
step  3920 | lm 5.853 | pred 2.845 | 5070 tok/s
step  3940 | lm 5.458 | pred 2.841 | 5070 tok/s
step  3960 | lm 5.899 | pred 2.841 | 5070 tok/s
step  3980 | lm 6.349 | pred 2.848 | 5071 tok/s
  eval step 4000: lm 5.824 pred 2.846 hit@k [h1: 0.118 | h2: 0.128 | h4: 0.130]
step  4000 | lm 5.799 | pred 2.846 | 5069 tok/s
step  4020 | lm 5.799 | pred 2.846 | 5069 tok/s
step  4040 | lm 5.678 | pred 2.846 | 5069 tok/s
step  4060 | lm 6.999 | pred 2.852 | 5070 tok/s
step  4080 | lm 5.532 | pred 2.842 | 5070 tok/s
step  4100 | lm 5.524 | pred 2.846 | 5070 tok/s
step  4120 | lm 5.424 | pred 2.840 | 5070 tok/s
