params: 94M total / 56M active | mode=joint lambda_pred=0.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step  1940 | lm 6.080 | pred 2.138 | 19293 tok/s
step  1960 | lm 6.213 | pred 2.138 | 19297 tok/s
step  1980 | lm 6.264 | pred 2.138 | 19302 tok/s
  eval step 2000: lm 6.350 pred 2.135 hit@k [h1: 0.256 | h2: 0.260 | h4: 0.252]
step  2000 | lm 6.183 | pred 2.136 | 19270 tok/s
step  2020 | lm 6.595 | pred 2.140 | 19275 tok/s
step  2040 | lm 6.251 | pred 2.138 | 19280 tok/s
step  2060 | lm 5.740 | pred 2.136 | 19285 tok/s
step  2080 | lm 6.238 | pred 2.139 | 19290 tok/s
step  2100 | lm 6.330 | pred 2.136 | 19294 tok/s
step  2120 | lm 6.637 | pred 2.135 | 19298 tok/s
step  2140 | lm 6.847 | pred 2.141 | 19302 tok/s
step  2160 | lm 6.374 | pred 2.137 | 19307 tok/s
step  2180 | lm 6.556 | pred 2.137 | 19311 tok/s
step  2200 | lm 6.452 | pred 2.134 | 19315 tok/s
step  2220 | lm 5.940 | pred 2.133 | 19318 tok/s
step  2240 | lm 6.246 | pred 2.136 | 19323 tok/s
step  2260 | lm 6.488 | pred 2.137 | 19327 tok/s
step  2280 | lm 6.222 | pred 2.135 | 19331 tok/s
step  2300 | lm 6.354 | pred 2.134 | 19334 tok/s
step  2320 | lm 6.188 | pred 2.137 | 19338 tok/s
step  2340 | lm 6.027 | pred 2.134 | 19341 tok/s
step  2360 | lm 6.345 | pred 2.138 | 19345 tok/s
step  2380 | lm 6.518 | pred 2.134 | 19348 tok/s
step  2400 | lm 6.266 | pred 2.135 | 19352 tok/s
step  2420 | lm 5.925 | pred 2.138 | 19355 tok/s
step  2440 | lm 6.448 | pred 2.136 | 19358 tok/s
step  2460 | lm 6.077 | pred 2.135 | 19361 tok/s
step  2480 | lm 6.369 | pred 2.137 | 19364 tok/s
  eval step 2500: lm 6.351 pred 2.134 hit@k [h1: 0.249 | h2: 0.264 | h4: 0.251]
step  2500 | lm 6.580 | pred 2.134 | 19339 tok/s
step  2520 | lm 6.080 | pred 2.136 | 19343 tok/s
step  2540 | lm 6.310 | pred 2.135 | 19347 tok/s
step  2560 | lm 6.444 | pred 2.137 | 19350 tok/s
step  2580 | lm 6.189 | pred 2.135 | 19353 tok/s
step  2600 | lm 6.017 | pred 2.138 | 19357 tok/s
step  2620 | lm 5.868 | pred 2.132 | 19359 tok/s
step  2640 | lm 6.612 | pred 2.133 | 19363 tok/s
step  2660 | lm 6.198 | pred 2.139 | 19366 tok/s
step  2680 | lm 6.346 | pred 2.135 | 19370 tok/s
step  2700 | lm 6.391 | pred 2.134 | 19372 tok/s
step  2720 | lm 6.416 | pred 2.136 | 19374 tok/s
step  2740 | lm 5.909 | pred 2.132 | 19378 tok/s
step  2760 | lm 6.482 | pred 2.136 | 19380 tok/s
step  2780 | lm 5.931 | pred 2.137 | 19383 tok/s
step  2800 | lm 6.611 | pred 2.135 | 19386 tok/s
step  2820 | lm 6.180 | pred 2.135 | 19388 tok/s
step  2840 | lm 6.164 | pred 2.136 | 19391 tok/s
step  2860 | lm 6.552 | pred 2.129 | 19392 tok/s
step  2880 | lm 6.421 | pred 2.133 | 19392 tok/s
step  2900 | lm 5.822 | pred 2.136 | 19393 tok/s
step  2920 | lm 6.129 | pred 2.133 | 19396 tok/s
step  2940 | lm 5.900 | pred 2.134 | 19399 tok/s
step  2960 | lm 6.082 | pred 2.132 | 19402 tok/s
step  2980 | lm 5.866 | pred 2.135 | 19404 tok/s
  eval step 3000: lm 6.151 pred 2.134 hit@k [h1: 0.257 | h2: 0.253 | h4: 0.255]
step  3000 | lm 6.180 | pred 2.136 | 19383 tok/s
step  3020 | lm 6.413 | pred 2.136 | 19383 tok/s
step  3040 | lm 6.111 | pred 2.132 | 19383 tok/s
step  3060 | lm 5.856 | pred 2.134 | 19384 tok/s
step  3080 | lm 6.192 | pred 2.133 | 19387 tok/s
