params: 94M total / 56M active | mode=joint lambda_pred=0.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step  1880 | lm 6.523 | pred 2.141 | 19534 tok/s
step  1900 | lm 6.202 | pred 2.144 | 19540 tok/s
step  1920 | lm 6.084 | pred 2.142 | 19547 tok/s
step  1940 | lm 6.220 | pred 2.142 | 19553 tok/s
step  1960 | lm 6.265 | pred 2.143 | 19559 tok/s
step  1980 | lm 6.451 | pred 2.138 | 19565 tok/s
  eval step 2000: lm 6.407 pred 2.140 hit@k [h1: 0.255]
step  2000 | lm 6.590 | pred 2.144 | 19535 tok/s
step  2020 | lm 6.248 | pred 2.144 | 19542 tok/s
step  2040 | lm 5.748 | pred 2.142 | 19548 tok/s
step  2060 | lm 6.236 | pred 2.147 | 19555 tok/s
step  2080 | lm 6.341 | pred 2.142 | 19561 tok/s
step  2100 | lm 6.643 | pred 2.141 | 19567 tok/s
step  2120 | lm 6.842 | pred 2.148 | 19572 tok/s
step  2140 | lm 6.393 | pred 2.142 | 19577 tok/s
step  2160 | lm 6.549 | pred 2.141 | 19583 tok/s
step  2180 | lm 6.468 | pred 2.144 | 19589 tok/s
step  2200 | lm 5.935 | pred 2.141 | 19593 tok/s
step  2220 | lm 6.254 | pred 2.142 | 19599 tok/s
step  2240 | lm 6.497 | pred 2.147 | 19603 tok/s
  eval step 2250: lm 6.358 pred 2.142 hit@k [h1: 0.251]
step  2260 | lm 6.535 | pred 2.145 | 19576 tok/s
step  2280 | lm 6.248 | pred 2.142 | 19581 tok/s
step  2300 | lm 6.390 | pred 2.134 | 19585 tok/s
step  2320 | lm 6.246 | pred 2.144 | 19591 tok/s
step  2340 | lm 6.014 | pred 2.143 | 19596 tok/s
step  2360 | lm 6.423 | pred 2.148 | 19602 tok/s
step  2380 | lm 6.530 | pred 2.148 | 19606 tok/s
step  2400 | lm 6.138 | pred 2.148 | 19611 tok/s
step  2420 | lm 6.460 | pred 2.148 | 19616 tok/s
step  2440 | lm 6.373 | pred 2.139 | 19617 tok/s
step  2460 | lm 6.343 | pred 2.141 | 19615 tok/s
step  2480 | lm 6.587 | pred 2.148 | 19614 tok/s
  eval step 2500: lm 6.240 pred 2.146 hit@k [h1: 0.246]
step  2500 | lm 6.265 | pred 2.147 | 19587 tok/s
step  2520 | lm 6.489 | pred 2.151 | 19592 tok/s
step  2540 | lm 6.077 | pred 2.142 | 19596 tok/s
step  2560 | lm 6.119 | pred 2.141 | 19600 tok/s
step  2580 | lm 6.252 | pred 2.143 | 19604 tok/s
step  2600 | lm 5.865 | pred 2.135 | 19609 tok/s
step  2620 | lm 6.002 | pred 2.140 | 19613 tok/s
step  2640 | lm 6.254 | pred 2.145 | 19618 tok/s
step  2660 | lm 6.137 | pred 2.143 | 19623 tok/s
step  2680 | lm 6.267 | pred 2.144 | 19626 tok/s
step  2700 | lm 6.120 | pred 2.139 | 19630 tok/s
step  2720 | lm 6.480 | pred 2.139 | 19634 tok/s
step  2740 | lm 5.954 | pred 2.140 | 19638 tok/s
  eval step 2750: lm 6.293 pred 2.141 hit@k [h1: 0.248]
step  2760 | lm 6.084 | pred 2.138 | 19616 tok/s
step  2780 | lm 6.687 | pred 2.143 | 19620 tok/s
step  2800 | lm 6.389 | pred 2.150 | 19625 tok/s
step  2820 | lm 5.880 | pred 2.141 | 19628 tok/s
step  2840 | lm 5.959 | pred 2.135 | 19632 tok/s
step  2860 | lm 6.878 | pred 2.138 | 19636 tok/s
step  2880 | lm 6.405 | pred 2.141 | 19639 tok/s
step  2900 | lm 5.825 | pred 2.140 | 19643 tok/s
step  2920 | lm 6.163 | pred 2.142 | 19647 tok/s
step  2940 | lm 6.286 | pred 2.139 | 19650 tok/s
step  2960 | lm 6.249 | pred 2.140 | 19654 tok/s
step  2980 | lm 6.061 | pred 2.140 | 19657 tok/s
  eval step 3000: lm 6.136 pred 2.141 hit@k [h1: 0.251]
step  3000 | lm 5.989 | pred 2.141 | 19637 tok/s
step  3020 | lm 6.315 | pred 2.139 | 19640 tok/s
step  3040 | lm 6.341 | pred 2.134 | 19644 tok/s
step  3060 | lm 6.640 | pred 2.140 | 19647 tok/s
step  3080 | lm 6.375 | pred 2.139 | 19651 tok/s
step  3100 | lm 6.153 | pred 2.134 | 19654 tok/s
step  3120 | lm 6.066 | pred 2.138 | 19657 tok/s
step  3140 | lm 6.053 | pred 2.142 | 19661 tok/s
step  3160 | lm 6.212 | pred 2.139 | 19662 tok/s
step  3180 | lm 6.220 | pred 2.137 | 19663 tok/s
step  3200 | lm 5.512 | pred 2.136 | 19665 tok/s
step  3220 | lm 6.368 | pred 2.142 | 19669 tok/s
step  3240 | lm 5.793 | pred 2.138 | 19672 tok/s
  eval step 3250: lm 6.161 pred 2.140 hit@k [h1: 0.251]
step  3260 | lm 6.318 | pred 2.136 | 19653 tok/s
step  3280 | lm 6.048 | pred 2.141 | 19656 tok/s
step  3300 | lm 6.194 | pred 2.143 | 19660 tok/s
step  3320 | lm 6.270 | pred 2.140 | 19663 tok/s
step  3340 | lm 6.297 | pred 2.139 | 19666 tok/s
step  3360 | lm 6.239 | pred 2.141 | 19670 tok/s
step  3380 | lm 5.804 | pred 2.136 | 19673 tok/s
step  3400 | lm 6.097 | pred 2.140 | 19676 tok/s
step  3420 | lm 6.615 | pred 2.139 | 19679 tok/s
step  3440 | lm 6.838 | pred 2.136 | 19682 tok/s
step  3460 | lm 5.962 | pred 2.135 | 19683 tok/s
step  3480 | lm 6.104 | pred 2.140 | 19686 tok/s
  eval step 3500: lm 6.588 pred 2.141 hit@k [h1: 0.250]
step  3500 | lm 5.979 | pred 2.139 | 19667 tok/s
step  3520 | lm 6.022 | pred 2.131 | 19670 tok/s
step  3540 | lm 6.128 | pred 2.140 | 19674 tok/s
step  3560 | lm 5.699 | pred 2.136 | 19676 tok/s
step  3580 | lm 5.951 | pred 2.138 | 19679 tok/s
step  3600 | lm 6.043 | pred 2.139 | 19682 tok/s
step  3620 | lm 5.656 | pred 2.133 | 19684 tok/s
step  3640 | lm 5.833 | pred 2.135 | 19687 tok/s
step  3660 | lm 6.123 | pred 2.142 | 19689 tok/s
step  3680 | lm 6.007 | pred 2.137 | 19692 tok/s
step  3700 | lm 6.272 | pred 2.139 | 19694 tok/s
step  3720 | lm 5.845 | pred 2.136 | 19697 tok/s
step  3740 | lm 5.566 | pred 2.130 | 19699 tok/s
  eval step 3750: lm 5.954 pred 2.136 hit@k [h1: 0.255]
step  3760 | lm 5.955 | pred 2.140 | 19682 tok/s
step  3780 | lm 6.136 | pred 2.138 | 19685 tok/s
step  3800 | lm 6.271 | pred 2.133 | 19688 tok/s
step  3820 | lm 5.905 | pred 2.137 | 19691 tok/s
step  3840 | lm 6.096 | pred 2.136 | 19693 tok/s
step  3860 | lm 5.956 | pred 2.138 | 19696 tok/s
step  3880 | lm 6.076 | pred 2.137 | 19698 tok/s
step  3900 | lm 5.658 | pred 2.138 | 19700 tok/s
step  3920 | lm 6.160 | pred 2.143 | 19700 tok/s
step  3940 | lm 6.569 | pred 2.139 | 19701 tok/s
step  3960 | lm 6.218 | pred 2.133 | 19703 tok/s
step  3980 | lm 6.200 | pred 2.136 | 19705 tok/s
  eval step 4000: lm 5.959 pred 2.141 hit@k [h1: 0.252]
